Date	Y	X	Z	RASTERVALU	Tiefe [km]	Magnitude	Epizentrum
06.04.1998	50.845	6.359	-19494.78	105.22	19.6	-	INDEN
06.05.2007	50.859	6.526	-7673.79	126.21	7.8	0.9	ELLEN
06.07.2018	50.881	6.205	-15459.27	140.73	15.6	0.6	ALSDORF
06.09.2012	50.835	6.263	-633.24	166.76	0.8	0.6	ESCHWEILER
06.11.2006	50.873	6.26	-16169.95	130.05	16.3	1.4	NIEDERMERZ
06.12.2002	50.786	6.301	-13602.48	197.52	13.8	1.2	SCHERPENSEEL
07.01.2002	50.848	6.309	-10445.63	154.37	10.6	2.7	DUERWISS
07.01.2002	50.846	6.307	-10645.59	154.41	10.8	2.6	WEISSWEILER
07.01.2004	50.845	6.283	-6647.29	152.71	6.8	1	DUERWISS
07.04.2017	50.838	6.296	-2743.87	156.13	2.9	0.3	DUERWISS
07.05.2015	50.926	6.414	-6894.74	105.26	7	1.3	JUELICH
07.06.2007	50.825	6.257	-14543.94	156.06	14.7	0.8	ESCHWEILER
07.06.2010	50.856	6.228	-14338.1	161.9	14.5	0.9	ALSDORF
07.07.2001	50.831	6.036	-734.22	165.78	0.9	2.1	WESTLICH KERKRADE (NL)
07.07.2018	50.868	6.183	-13328.82	171.18	13.5	0.7	ALSDORF
07.08.2019	50.921	6.384	-17915.64	84.36	18	0.5	JUELICH
07.09.1996	50.729	6.276	-10921.01	278.99	11.2	1.4	GROSSHAU
07.09.2011	50.749	6.228	-8620.97	279.03	8.9	0.6	STOLBERG
07.09.2011	50.759	6.326	-9157.55	242.45	9.4	1.1	STOLBERG
07.12.2004	50.896	6.223	-16071.43	128.57	16.2	1.8	SIERSDORF (E. ALSDORF)
08.01.1991	50.821	6.266	-3960.54	139.46	4.1	1.6	ESCHWEILER
08.01.2002	50.838	6.307	-11242.16	157.84	11.4	1.1	DUERWISS
08.02.2003	50.826	6.341	-11079.28	120.72	11.2	1.3	ESCHWEILER
08.02.2003	50.832	6.273	-13237.87	162.13	13.4	1.2	ESCHWEILER
08.02.2011	50.715	6.272	-7654.14	345.86	8	0.6	S. ZWEIFALL
08.03.1985	50.718	6.421	-14851.47	248.53	15.1	0.8	OBERMAUBACH
08.03.1994	50.702	6.177	-12717.75	282.25	13	1	WALHEIM
08.03.2009	50.882	6.165	-15042.86	157.14	15.2	1	ALSDORF
08.04.2007	50.949	6.413	-7402.39	97.61	7.5	1.1	STETTERNICH
08.05.2017	50.703	6.25	-5249.87	350.13	5.6	0.9	ZWEIFALL
08.05.2017	50.712	6.261	-3870.99	329.01	4.2	0.5	ZWEIFALL
08.05.2017	50.706	6.259	-3144.21	355.79	3.5	1.8	ZWEIFALL
08.06.1984	50.846	6.279	-13252.57	147.43	13.4	2.1	DUERWISS
